 Total Nb of available Diagnostics: ndiagt=   239
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
     1 |SDIAG1  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #1
     2 |SDIAG2  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #2
     3 |SDIAG3  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #3
     4 |SDIAG4  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #4
     5 |SDIAG5  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #5
     6 |SDIAG6  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #6
     7 |SDIAG7  |  1 |       |SU      L1|user-defined    |User-Defined U.pt Surface Diagnostic #7
     8 |SDIAG8  |  1 |       |SV      L1|user-defined    |User-Defined V.pt Surface Diagnostic #8
     9 |SDIAG9  |  1 |    10 |UU      L1|user-defined    |User-Defined U.vector Surface Diag.  #9
    10 |SDIAG10 |  1 |     9 |VV      L1|user-defined    |User-Defined V.vector Surface Diag. #10
    11 |UDIAG1  | 15 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #1
    12 |UDIAG2  | 15 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #2
    13 |UDIAG3  | 15 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #3
    14 |UDIAG4  | 15 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #4
    15 |UDIAG5  | 15 |       |SU      MR|user-defined    |User-Defined U.pt Model-Level Diag.  #5
    16 |UDIAG6  | 15 |       |SV      MR|user-defined    |User-Defined V.pt Model-Level Diag.  #6
    17 |UDIAG7  | 15 |    18 |UUR     MR|user-defined    |User-Defined U.vector Model-Lev Diag.#7
    18 |UDIAG8  | 15 |    17 |VVR     MR|user-defined    |User-Defined V.vector Model-Lev Diag.#8
    19 |UDIAG9  | 15 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic  #9
    20 |UDIAG10 | 15 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic #10
    21 |SDIAGC  |  1 |    22 |SM  C   L1|user-defined    |User-Defined Counted Surface Diagnostic
    22 |SDIAGCC |  1 |       |SM      L1|count           |User-Defined Surface Diagnostic Counter
    23 |ETAN    |  1 |       |SM      M1|m               |Surface Height Anomaly
    24 |ETANSQ  |  1 |       |SM P    M1|m^2             |Square of Surface Height Anomaly
    25 |DETADT2 |  1 |       |SM      M1|m^2/s^2         |Square of Surface Height Anomaly Tendency
    26 |THETA   | 15 |       |SMR     MR|degC            |Potential Temperature
    27 |SALT    | 15 |       |SMR     MR|g/kg            |Salinity
    28 |addMass | 15 |       |SM      MR|kg/s            |Source (<0: sink) of fluid in the domain interior
    29 |gTaddMas| 15 |       |SM      MR|degC/s          |Temperature tendency of addMass, >0 inc ocean theta
    30 |gSaddMas| 15 |       |SM      MR|g/kg/s          |Salinity tendency of addMass, >0 inc ocean salt
    31 |tAddMass| 15 |       |SM      MR|C.kg/s.m3/kg/m3 |Temperature times AddMass in apply_forcing
    32 |sAddMass| 15 |       |SM      MR|g/kg.kg/s.m3/kg/|Salinity times AddMass in apply_forcing
    33 |RELHUM  | 15 |       |SMR     MR|percent         |Relative Humidity
    34 |SALTanom| 15 |       |SMR     MR|g/kg            |Salt anomaly (=SALT-35; g/kg)
    35 |UVEL    | 15 |    36 |UUR     MR|m/s             |Zonal Component of Velocity (m/s)
    36 |VVEL    | 15 |    35 |VVR     MR|m/s             |Meridional Component of Velocity (m/s)
    37 |WVEL    | 15 |       |WM      LR|m/s             |Vertical Component of Velocity (r_units/s)
    38 |THETASQ | 15 |       |SMRP    MR|degC^2          |Square of Potential Temperature
    39 |SALTSQ  | 15 |       |SMRP    MR|(g/kg)^2        |Square of Salinity
    40 |SALTSQan| 15 |       |SMRP    MR|(g/kg)^2        |Square of Salt anomaly (=(SALT-35)^2 (g^2/kg^2)
    41 |UVELSQ  | 15 |    42 |UURP    MR|m^2/s^2         |Square of Zonal Comp of Velocity (m^2/s^2)
    42 |VVELSQ  | 15 |    41 |VVRP    MR|m^2/s^2         |Square of Meridional Comp of Velocity (m^2/s^2)
    43 |WVELSQ  | 15 |       |WM P    LR|m^2/s^2         |Square of Vertical Comp of Velocity
    44 |UE_VEL_C| 15 |    45 |UMR     MR|m/s             |Eastward Velocity (m/s) (cell center)
    45 |VN_VEL_C| 15 |    44 |VMR     MR|m/s             |Northward Velocity (m/s) (cell center)
    46 |UV_VEL_C| 15 |    46 |UMR     MR|m^2/s^2         |Product of horizontal Comp of velocity (cell center)
    47 |UV_VEL_Z| 15 |    47 |UZR     MR|m^2/s^2         |Meridional Transport of Zonal Momentum (m^2/s^2)
    48 |WU_VEL  | 15 |       |WU      LR|m.m/s^2         |Vertical Transport of Zonal Momentum
    49 |WV_VEL  | 15 |       |WV      LR|m.m/s^2         |Vertical Transport of Meridional Momentum
    50 |UVELMASS| 15 |    51 |UUr     MR|m/s             |Zonal Mass-Weighted Comp of Velocity (m/s)
    51 |VVELMASS| 15 |    50 |VVr     MR|m/s             |Meridional Mass-Weighted Comp of Velocity (m/s)
    52 |WVELMASS| 15 |       |WM      LR|m/s             |Vertical Mass-Weighted Comp of Velocity
    53 |PhiVEL  | 15 |    50 |SMR P   MR|m^2/s           |Horizontal Velocity Potential (m^2/s)
    54 |PsiVEL  | 15 |    53 |SZ  P   MR|m.m^2/s         |Horizontal Velocity Stream-Function
    55 |UTHMASS | 15 |    56 |UUr     MR|degC.m/s        |Zonal Mass-Weight Transp of Pot Temp
    56 |VTHMASS | 15 |    55 |VVr     MR|degC.m/s        |Meridional Mass-Weight Transp of Pot Temp
    57 |WTHMASS | 15 |       |WM      LR|degC.m/s        |Vertical Mass-Weight Transp of Pot Temp (K.m/s)
    58 |USLTMASS| 15 |    59 |UUr     MR|g/kg.m/s        |Zonal Mass-Weight Transp of Salinity
    59 |VSLTMASS| 15 |    58 |VVr     MR|g/kg.m/s        |Meridional Mass-Weight Transp of Salinity
    60 |WSLTMASS| 15 |       |WM      LR|g/kg.m/s        |Vertical Mass-Weight Transp of Salinity
    61 |UVELTH  | 15 |    62 |UUR     MR|degC.m/s        |Zonal Transport of Pot Temp
    62 |VVELTH  | 15 |    61 |VVR     MR|degC.m/s        |Meridional Transport of Pot Temp
    63 |WVELTH  | 15 |       |WM      LR|degC.m/s        |Vertical Transport of Pot Temp
    64 |UVELSLT | 15 |    65 |UUR     MR|g/kg.m/s        |Zonal Transport of Salinity
    65 |VVELSLT | 15 |    64 |VVR     MR|g/kg.m/s        |Meridional Transport of Salinity
    66 |WVELSLT | 15 |       |WM      LR|g/kg.m/s        |Vertical Transport of Salinity
    67 |UVELPHI | 15 |    68 |UUr     MR|m^3/s^3         |Zonal Mass-Weight Transp of Pressure Pot.(p/rho) Anomaly
    68 |VVELPHI | 15 |    67 |VVr     MR|m^3/s^3         |Merid. Mass-Weight Transp of Pressure Pot.(p/rho) Anomaly
    69 |RHOAnoma| 15 |       |SMR     MR|kg/m^3          |Density Anomaly (=Rho-rhoConst)
    70 |RHOANOSQ| 15 |       |SMRP    MR|kg^2/m^6        |Square of Density Anomaly (=(Rho-rhoConst)^2)
    71 |URHOMASS| 15 |    72 |UUr     MR|kg/m^2/s        |Zonal Transport of Density
    72 |VRHOMASS| 15 |    71 |VVr     MR|kg/m^2/s        |Meridional Transport of Density
    73 |WRHOMASS| 15 |       |WM      LR|kg/m^2/s        |Vertical Transport of Density
    74 |WdRHO_P | 15 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-P
    75 |WdRHOdP | 15 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-T,S
    76 |PHIHYD  | 15 |       |SMR     MR|m^2/s^2         |Hydrostatic Pressure Pot.(p/rho) Anomaly
    77 |PHIHYDSQ| 15 |       |SMRP    MR|m^4/s^4         |Square of Hyd. Pressure Pot.(p/rho) Anomaly
    78 |PHIBOT  |  1 |       |SM      M1|m^2/s^2         |Bottom Pressure Pot.(p/rho) Anomaly
    79 |PHIBOTSQ|  1 |       |SM P    M1|m^4/s^4         |Square of Bottom Pressure Pot.(p/rho) Anomaly
    80 |PHI_SURF|  1 |       |SM      M1|m^2/s^2         |Surface Dynamical Pressure Pot.(p/rho)
    81 |PHIHYDcR| 15 |       |SMR     MR|m^2/s^2         |Hydrostatic Pressure Pot.(p/rho) Anomaly @ const r
    82 |PHI_NH  | 15 |       |SMR     MR|m^2/s^2         |Non-Hydrostatic Pressure Pot.(p/rho)
    83 |MXLDEPTH|  1 |       |SM      M1|m               |Mixed-Layer Depth (>0)
    84 |DRHODR  | 15 |       |SM      LR|kg/m^4          |Stratification: d.Sigma/dr (kg/m3/r_unit)
    85 |CONVADJ | 15 |       |SMR     LR|fraction        |Convective Adjustment Index [0-1]
    86 |oceTAUX |  1 |    87 |UU      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
    87 |oceTAUY |  1 |    86 |VV      U1|N/m^2           |meridional surf. wind stress, >0 increases vVel
    88 |atmPload|  1 |       |SM      U1|Pa              |Atmospheric pressure loading anomaly (vs surf_pRef)
    89 |sIceLoad|  1 |       |SM      U1|kg/m^2          |sea-ice loading (in Mass of ice+snow / area unit)
    90 |oceFWflx|  1 |       |SM      U1|kg/m^2/s        |net surface Fresh-Water flux into the ocean (+=down), >0 decreases salinity
    91 |oceSflux|  1 |       |SM      U1|g/m^2/s         |net surface Salt flux into the ocean (+=down), >0 increases salinity
    92 |oceQnet |  1 |       |SM      U1|W/m^2           |net surface heat flux into the ocean (+=down), >0 increases theta
    93 |oceQsw  |  1 |       |SM      U1|W/m^2           |net Short-Wave radiation (+=down), >0 increases theta
    94 |oceFreez|  1 |       |SM      U1|W/m^2           |heating from freezing of sea-water (allowFreezing=T)
    95 |TRELAX  |  1 |       |SM      U1|W/m^2           |surface temperature relaxation, >0 increases theta
